,Rank,PLAYER,TEAM,P,GS,MIN,G,ASST,SHOTS,SOG,Unnamed: 10
195,196,Çağlar Söyüncü,Leicester City,LEI,2,2,180,0,0,1,0
196,197,Luke Thomas,Leicester City,LEI,0,0,0,0,0,0,0
197,198,Youri Tielemans,Leicester City,LEI,2,2,180,0,0,2,2
198,199,Danny Ward,Leicester City,LEI,0,0,0,0,0,0,0
199,200,Lucas Digne,Everton,EVE,2,2,180,0,1,0,0
200,201,Pierre-Emile Højbjerg,Tottenham Hotspur,TOT,2,2,180,0,0,0,0
201,202,Bernard Anício Caldeira Duarte,Everton,EVE,0,0,0,0,0,0,0
202,203,Toby Alderweireld,Tottenham Hotspur,TOT,1,1,90,0,0,0,0
203,204,Dele Alli,Tottenham Hotspur,TOT,1,1,45,0,0,1,1
204,205,Séamus Coleman,Everton,EVE,2,2,180,0,0,1,1
205,206,Serge Aurier,Tottenham Hotspur,TOT,0,0,0,0,0,0,0
206,207,Steven Bergwijn,Tottenham Hotspur,TOT,2,0,36,0,0,0,0
207,208,Tom Davies,Everton,EVE,1,0,1,0,0,0,0
208,209,Ben Davies,Tottenham Hotspur,TOT,2,2,180,0,0,0,0
209,210,Abdoulaye Doucouré,Everton,EVE,2,2,155,0,0,0,0
210,211,Eric Dier,Tottenham Hotspur,TOT,2,2,180,0,0,0,0
211,212,Matt Doherty,Tottenham Hotspur,TOT,2,2,166,0,0,1,1
212,213,Moise Bioty Kean,Everton,EVE,2,0,13,0,0,1,0
213,214,Joe Hart,Tottenham Hotspur,TOT,0,0,0,0,0,0,0
214,215,Jonjoe Kenny,Everton,EVE,0,0,0,0,0,0,0
215,216,Erik Lamela,Tottenham Hotspur,TOT,1,0,29,0,0,1,1
216,217,Allan Marques Loureiro,Everton,EVE,2,2,180,0,0,1,1
217,218,Hugo Lloris,Tottenham Hotspur,TOT,2,2,180,0,0,0,0
218,219,Yerry Fernando Mina González,Everton,EVE,2,2,180,0,0,1,0
219,220,Tanguy Ndombele,Tottenham Hotspur,TOT,2,1,59,0,0,0,0
220,221,João Manuel Neves Virgínia,Everton,EVE,0,0,0,0,0,0,0
221,222,Lucas Rodrigues Moura da Silva,Tottenham Hotspur,TOT,2,2,151,0,0,1,1
222,223,Jordan Pickford,Everton,EVE,2,2,180,0,0,0,0
223,224,Moussa Sissoko,Tottenham Hotspur,TOT,1,0,45,0,0,0,0
224,225,Davinson Sánchez Mina,Tottenham Hotspur,TOT,1,1,90,0,0,0,0
225,226,Gylfi Sigurdsson,Everton,EVE,2,0,47,0,0,0,0
226,227,André Filipe Tavares Gomes,Everton,EVE,2,2,158,0,0,0,0
227,228,Theo Walcott,Everton,EVE,0,0,0,0,0,0,0
228,229,Richarlison de Andrade,Everton,EVE,2,2,180,0,2,8,2
229,230,Harry Winks,Tottenham Hotspur,TOT,2,2,150,0,0,0,0
230,231,Daniel Castelo Podence,Wolverhampton Wanderers,WOL,2,2,166,0,2,2,0
231,232,Pedro Lomba Neto,Wolverhampton Wanderers,WOL,2,2,146,0,1,0,0
232,233,John Egan,Sheffield United,SHU,2,2,102,0,0,1,0
233,234,Oliver McBurnie,Sheffield United,SHU,2,1,112,0,0,3,2
234,235,Fernando Marçal de Oliveira,Wolverhampton Wanderers,WOL,2,2,98,0,0,0,0
235,236,Ethan Ampadu,Sheffield United,SHU,1,0,59,0,0,1,0
236,237,George Baldock,Sheffield United,SHU,2,2,180,0,0,0,0
237,238,Chris Basham,Sheffield United,SHU,2,2,139,0,0,0,0
238,239,Sander Berge,Sheffield United,SHU,2,1,104,0,0,1,0
239,240,Oliver Burke,Sheffield United,SHU,1,1,90,0,0,0,0
240,241,John Fleck,Sheffield United,SHU,2,2,153,0,0,1,0
241,242,Wes Foderingham,Sheffield United,SHU,0,0,0,0,0,0,0
242,243,Phil Jagielka,Sheffield United,SHU,0,0,0,0,0,0,0
243,244,John Lundstram,Sheffield United,SHU,2,2,180,0,0,1,1
244,245,David McGoldrick,Sheffield United,SHU,2,1,50,0,0,0,0
245,246,Oliver Norwood,Sheffield United,SHU,1,1,76,0,0,0,0
246,247,Jack O'Connell,Sheffield United,SHU,2,2,180,0,0,0,0
247,248,Willy Boly,Wolverhampton Wanderers,WOL,2,2,180,0,0,1,0
248,249,Ben Osborn,Sheffield United,SHU,1,0,27,0,0,0,0
249,250,Oskar Buur,Wolverhampton Wanderers,WOL,1,0,22,0,0,0,0
250,251,Aaron Ramsdale,Sheffield United,SHU,2,2,180,0,0,0,0
251,252,Conor Coady,Wolverhampton Wanderers,WOL,2,2,180,0,0,0,0
252,253,Billy Sharp,Sheffield United,SHU,1,1,90,0,0,1,0
253,254,Leander Dendoncker,Wolverhampton Wanderers,WOL,2,1,102,0,0,0,0
254,255,Enda Stevens,Sheffield United,SHU,2,2,180,0,0,1,0
255,256,Vitor Machado Ferreira,Wolverhampton Wanderers,WOL,1,0,4,0,0,0,0
256,257,John Ruddy,Wolverhampton Wanderers,WOL,0,0,0,0,0,0,0
257,258,João Filipe Iria Santos Moutinho,Wolverhampton Wanderers,WOL,2,2,164,0,0,0,0
258,259,Rúben Gonçalo Silva Nascimento Vinagre,Wolverhampton Wanderers,WOL,1,0,82,0,0,0,0
259,260,Fabio Daniel Soares Silva,Wolverhampton Wanderers,WOL,1,0,12,0,0,0,0
260,261,Diogo José Teixeira da Silva,Liverpool,LIV,0,0,0,0,0,0,0
261,262,Adama Traoré,Wolverhampton Wanderers,WOL,2,2,180,0,0,1,0
262,263,Rúben Diogo da Silva Neves,Wolverhampton Wanderers,WOL,2,1,104,0,0,0,0
263,264,Rui Pedro dos Santos Patrício,Wolverhampton Wanderers,WOL,2,2,180,0,0,0,0
264,265,Tariq Lamptey,Brighton and Hove Albion,BHA,2,2,148,0,1,1,1
265,266,Steven Alzate,Brighton and Hove Albion,BHA,2,2,169,0,0,1,1
266,267,Yves Bissouma,Brighton and Hove Albion,BHA,2,2,179,0,0,4,0
267,268,Dan Burn,Brighton and Hove Albion,BHA,1,0,32,0,0,0,0
268,269,Lewis Dunk,Brighton and Hove Albion,BHA,2,2,180,0,0,1,0
269,270,Pascal Groß,Brighton and Hove Albion,BHA,1,0,11,0,0,0,0
270,271,Alireza Jahanbakhsh,Brighton and Hove Albion,BHA,2,0,12,0,0,0,0
271,272,Tammy Bakumo-Abraham,Chelsea,CHE,1,0,11,0,0,1,1
272,273,Adam Lallana,Brighton and Hove Albion,BHA,2,1,57,0,0,0,0
273,274,Marcos Alonso,Chelsea,CHE,2,2,180,0,0,0,0
274,275,Solly March,Brighton and Hove Albion,BHA,2,2,168,0,0,0,0
275,276,Kepa Arrizabalaga Revuelta,Chelsea,CHE,2,2,180,0,0,0,0
276,277,César Azpilicueta,Chelsea,CHE,1,0,5,0,0,0,0
277,278,Mathew Ryan,Brighton and Hove Albion,BHA,2,2,180,0,0,0,0
278,279,Jason Steele,Brighton and Hove Albion,BHA,0,0,0,0,0,0,0
279,280,Ross Barkley,Chelsea,CHE,2,0,40,0,0,1,1
280,281,Dale Stephens,Brighton and Hove Albion,BHA,0,0,0,0,0,0,0
281,282,Joël Veltman,Brighton and Hove Albion,BHA,0,0,0,0,0,0,0
282,283,Willy Caballero,Chelsea,CHE,0,0,0,0,0,0,0
283,284,Adam Webster,Brighton and Hove Albion,BHA,2,2,180,0,0,1,0
284,285,Ben White,Brighton and Hove Albion,BHA,2,2,169,0,0,0,0
285,286,Andreas Christensen,Chelsea,CHE,2,2,135,0,0,0,0
286,287,Olivier Giroud,Chelsea,CHE,0,0,0,0,0,0,0
287,288,Kai Havertz,Chelsea,CHE,2,2,125,0,0,0,0
288,289,Callum Hudson-Odoi,Chelsea,CHE,1,0,10,0,0,0,0
289,290,N'Golo Kanté,Chelsea,CHE,2,2,180,0,0,0,0
290,291,Ruben Loftus-Cheek,Chelsea,CHE,1,1,61,0,0,0,0
291,292,Mason Mount,Chelsea,CHE,2,2,180,0,0,2,0
292,293,Antonio Rüdiger,Chelsea,CHE,0,0,0,0,0,0,0
293,294,Timo Werner,Chelsea,CHE,2,2,180,0,0,3,1
294,295,Alex Iwobi,Everton,EVE,1,0,19,0,0,0,0
295,296,Sam Field,West Bromwich Albion,WBA,1,0,15,0,0,0,0
296,297,Cédric Kipré,West Bromwich Albion,WBA,0,0,0,0,0,0,0
297,298,Matt Phillips,West Bromwich Albion,WBA,1,0,19,0,0,0,0
298,299,Kenny Tete,Fulham,FUL,1,1,90,0,1,0,0
299,300,Mario Lemina,Fulham,FUL,1,0,20,0,0,0,0
300,301,Mateusz Bogusz,Leeds United,LEE,0,0,0,0,0,0,0
301,302,Elia Caprile,Leeds United,LEE,0,0,0,0,0,0,0
302,303,Liam Cooper,Leeds United,LEE,1,1,90,0,0,0,0
303,304,Timothy Fosu-Mensah,Manchester United,MUN,1,1,81,0,0,0,0
304,305,Harry Maguire,Manchester United,MUN,1,1,90,0,0,1,0
305,306,Ryan Inniss,Crystal Palace,CRY,0,0,0,0,0,0,0
306,307,Mamadou Sakho,Crystal Palace,CRY,1,1,90,0,0,0,0
307,308,Eric Bailly,Manchester United,MUN,0,0,0,0,0,0,0
308,309,Bruno Miguel Borges Fernandes,Manchester United,MUN,1,1,90,0,0,1,1
309,310,Mason Greenwood,Manchester United,MUN,1,0,45,0,0,1,0
310,311,Dean Henderson,Manchester United,MUN,0,0,0,0,0,0,0
311,312,Odion Ighalo,Manchester United,MUN,1,0,9,0,0,0,0
312,313,Daniel James,Manchester United,MUN,1,1,45,0,0,0,0
313,314,Victor Nilsson Lindelöf,Manchester United,MUN,1,1,90,0,0,1,0
314,315,Anthony Martial,Manchester United,MUN,1,1,90,0,0,0,0
315,316,Scott McTominay,Manchester United,MUN,1,1,90,0,0,1,0
316,317,Paul Pogba,Manchester United,MUN,1,1,67,0,0,2,2
317,318,Marcus Rashford,Manchester United,MUN,1,1,90,0,0,0,0
318,319,Frederico Rodrigues de Paula Santos,Manchester United,MUN,0,0,0,0,0,0,0
319,320,Luke Shaw,Manchester United,MUN,1,1,90,0,0,0,0
320,321,Aaron Wan-Bissaka,Manchester United,MUN,0,0,0,0,0,0,0
321,322,David de Gea Quintana,Manchester United,MUN,1,1,90,0,0,0,0
322,323,Arthur Masuaku,West Ham United,WHU,1,1,89,0,0,1,0
323,324,David Luiz Moreira Marinho,Arsenal,ARS,1,0,1,0,0,0,0
324,325,Giovani Lo Celso,Tottenham Hotspur,TOT,1,0,45,0,0,0,0
325,326,Stuart Armstrong,Southampton,SOU,1,1,68,0,0,1,0
326,327,Bernardo Fernandes da Silva Junior,Brighton and Hove Albion,BHA,0,0,0,0,0,0,0
327,328,Ciaran Clark,Newcastle United,NEW,0,0,0,0,0,0,0
328,329,Thiago Alcântara do Nascimento,Liverpool,LIV,1,0,45,0,0,1,0
329,330,Konstantinos Tsimikas,Liverpool,LIV,0,0,0,0,0,0,0
330,331,Mateo Kovačić,Chelsea,CHE,1,1,79,0,0,0,0
331,332,Fikayo Tomori,Chelsea,CHE,1,0,45,0,0,0,0
332,333,Jay Rodriguez,Burnley,BRN,1,1,70,0,0,2,0
333,334,Dwight McNeil,Burnley,BRN,1,1,90,0,1,0,0
334,335,Phil Bardsley,Burnley,BRN,1,1,90,0,0,3,0
335,336,Josh Benson,Burnley,BRN,0,0,0,0,0,0,0
336,337,Wes Morgan,Leicester City,LEI,1,0,1,0,0,0,0
337,338,Robbie Brady,Burnley,BRN,1,1,40,0,0,1,1
338,339,Josh Brownhill,Burnley,BRN,1,1,90,0,0,1,0
339,340,Anthony Driscoll-Glennon,Burnley,BRN,0,0,0,0,0,0,0
340,341,Kevin Long,Burnley,BRN,1,1,90,0,0,0,0
341,342,Matthew Lowton,Burnley,BRN,0,0,0,0,0,0,0
342,343,Bailey Peacock-Farrell,Burnley,BRN,0,0,0,0,0,0,0
343,344,Erik Pieters,Burnley,BRN,1,0,50,0,0,1,1
344,345,Nick Pope,Burnley,BRN,1,1,90,0,0,0,0
345,346,Charlie Taylor,Burnley,BRN,1,1,90,0,0,0,0
346,347,Bobby Thomas,Burnley,BRN,0,0,0,0,0,0,0
347,348,Matej Vydra,Burnley,BRN,1,0,20,0,0,0,0
348,349,Ashley Westwood,Burnley,BRN,1,1,90,0,0,0,0
349,350,Tyrone Mings,Aston Villa,AVL,1,1,90,0,1,1,0
350,351,Matthew Cash,Aston Villa,AVL,1,1,90,0,0,0,0
351,352,John McGinn,Aston Villa,AVL,1,1,90,0,0,2,0
352,353,Keinan Davis,Aston Villa,AVL,1,0,28,0,0,0,0
353,354,Anwar El Ghazi,Aston Villa,AVL,0,0,0,0,0,0,0
354,355,Ahmed Eissa El Mohamady Abdel Fattah,Aston Villa,AVL,0,0,0,0,0,0,0
355,356,Jack Grealish,Aston Villa,AVL,1,1,90,0,0,2,0
356,357,Mahmoud Ahmed Ibrahim Hassan,Aston Villa,AVL,1,1,90,0,0,2,0
357,358,Kortney Hause,Aston Villa,AVL,0,0,0,0,0,0,0
358,359,Conor Hourihane,Aston Villa,AVL,1,1,62,0,0,1,0
359,360,Damián Emiliano Martínez,Aston Villa,AVL,1,1,90,0,0,0,0
360,361,Marvelous Nakamba,Aston Villa,AVL,0,0,0,0,0,0,0
361,362,Douglas Luiz Soares de Paulo,Aston Villa,AVL,1,1,90,0,0,2,1
362,363,Jed Steer,Aston Villa,AVL,0,0,0,0,0,0,0
363,364,Matt Targett,Aston Villa,AVL,1,1,90,0,0,0,0
364,365,Neil Taylor,Aston Villa,AVL,0,0,0,0,0,0,0
365,366,Ollie Watkins,Aston Villa,AVL,1,1,90,0,0,2,0
366,367,Jack Robinson,Sheffield United,SHU,0,0,0,0,0,0,0
367,368,Raheem Shaquille Sterling,Manchester City,MCI,1,1,82,0,1,1,1
368,369,Rodrigo Hernández Cascante,Manchester City,MCI,1,1,90,0,0,1,0
369,370,Maximilian Kilman,Wolverhampton Wanderers,WOL,0,0,0,0,0,0,0
370,371,Nathan Aké,Manchester City,MCI,1,1,90,0,0,0,0
371,372,Adrián Bernabé,Manchester City,MCI,0,0,0,0,0,0,0
372,373,Liam Delap,Manchester City,MCI,0,0,0,0,0,0,0
373,374,Tommy Doyle,Manchester City,MCI,0,0,0,0,0,0,0
374,375,Fernando Luiz Rosa,Manchester City,MCI,1,1,90,0,0,1,0
375,376,Riyad Mahrez,Manchester City,MCI,0,0,0,0,0,0,0
376,377,Benjamin Mendy,Manchester City,MCI,1,1,90,0,0,0,0
377,378,Nicolás Hernán Otamendi,Manchester City,MCI,0,0,0,0,0,0,0
378,379,Ederson Santana de Moraes,Manchester City,MCI,1,1,90,0,0,0,0
379,380,Zack Steffen,Manchester City,MCI,0,0,0,0,0,0,0
380,381,John Stones,Manchester City,MCI,1,1,90,0,0,0,0
381,382,Ferran Torres García,Manchester City,MCI,1,0,8,0,0,0,0
382,383,Kyle Walker,Manchester City,MCI,1,1,90,0,0,0,0
